"Notes"	"Census Region"	"Census Region Code"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Drug/Alcohol Induced Cause"	"Drug/Alcohol Induced Cause Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"< 1 year"	"1"	"All other non-drug and non-alcohol causes"	"O9"	4528	817345	554.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"1-4 years"	"1-4"	"All other non-drug and non-alcohol causes"	"O9"	585	3428814	17.1
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"5-14 years"	"5-14"	"All other non-drug and non-alcohol causes"	"O9"	995	9636129	10.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	906	9759558	9.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	56	9759558	0.6
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"15-24 years"	"15-24"	"Drug poisonings (overdose) Undetermined (Y10-Y14)"	"D4"	31	9759558	0.3
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"15-24 years"	"15-24"	"All other drug-induced causes"	"D9"	19	9759558	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"15-24 years"	"15-24"	"Alcohol poisonings (overdose) (X45, X65, Y15)"	"A1"	17	9759558	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"15-24 years"	"15-24"	"All other alcohol-induced causes"	"A9"	17	9759558	Unreliable
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"15-24 years"	"15-24"	"All other non-drug and non-alcohol causes"	"O9"	4536	9759558	46.5
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Unintentional (X40-X44)"	"D1"	2259	9050985	25.0
	"Census Region 1: Northeast"	"CENS-R1"	"Connecticut"	"09"	"25-34 years"	"25-34"	"Drug poisonings (overdose) Suicide (X60-X64)"	"D2"	104	9050985	1.1
